year,code,name,TA,PDE,Total
2019,1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,42992000,0,42992000

2020,1001,Προεδρία της Δημοκρατίας,3691000,0,3691000 
2020,1003,Βουλή των Ελλήνων,139550000,1000000,140550000
2020,1004,Προεδρία της Κυβέρνησης,0,0,0
2020,1007,Υπουργείο Εσωτερικών,2785671000,212000000,2997671000
2020,1009,Υπουργείο Εξωτερικών,267109000,11000000,278109000
2020,1011,Υπουργείο Εθνικής Άμυνας,3383000000,14000000,3397000000
2020,1015,Υπουργείο Υγείας,3798660000,60000000,3858660000
2020,1017,Υπουργείο Δικαιοσύνης,509754000,23000000,532754000
2020,1019,Υπουργείο Παιδείας και Θρησκευμάτων,4953000000,510000000,5463000000
2020,1021,Υπουργείο Πολιτισμού και ΑΘλητισμού, 300200000,35000000,335200000
2020,1023,Υπουργείο Οικονομικών,632762383000,26000000,632788383000 
2020,1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,269473000,802000000,1071473000
2020,1031,Υπουργείο Περιβάλλοντος και Ενέργειας,90805000,570000000
2020,1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,19471800000,420000000,19891800000
2020,1035,Υπουργείο Ανάπτυξης και Επενδύσεων,158846000,2261000000,2419846000
2020,1039,Υπουργείο Υποδομών και Μεταφορών,533867000,1467000000,2000867000 
2020,1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,266800000,140000000,406800000
2020,1045,Υπουργείο Τουρισμού,36680000,33000000,69680000
2020,1053,Υπουργείο Ψηφιακής Διακυβέρνυσης,132279000,60000000,192279000
2020,1055,Υπουργείο Μετανάστευσης και Ασύλου,0,0,0
2020,1057,Υπουργείο Προστασίας του Πολίτη,2365481000,105000000,2470481000
2020,1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,0,0,0
2020,1901,Αποκεντρωμένη Διοίκηση Αττικής,19856000,0,19856000
2020,1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,27484000,0,27484000
2020,1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18937000,0,18937000
2020,1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,35146000,0,35146000
2020,1905,Αποκεντρωμένη Διοίκηση Αιγαίου,10220000,0,10220000
2020,1906,Αποκεντρωμένη Διοίκηση Κρήτης,11208000,0,11208000
2020,1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,42245000,0,42245000 

2021,1001,Προεδρία της Δημοκρατίας,3766000,0,3766000 
2021,1003,Βουλή των Ελλήνων,142500000,1000000,143500000
2021,1004,Προεδρία της Κυβέρνησης,31251000,3000000,34251000
2021,1007,Υπουργείο Εσωτερικών,2814769000,172000000,2986769000
2021,1009,Υπουργείο Εξωτερικών,274237000,14000000,288237000
2021,1011,Υπουργείο Εθνικής Άμυνας,5481900000,14000000,5495900000
2021,1015,Υπουργείο Υγείας,4196596000,60000000,4256596000
2021,1017,Υπουργείο Δικαιοσύνης,510261000,23000000,533261000
2021,1019,Υπουργείο Παιδείας και Θρησκευμάτων,4895100000,710000000,5605100000
2021,1021,Υπουργείο Πολιτισμού και ΑΘλητισμού,324100000,35000000,359100000
2021,1023,Υπουργείο Οικονομικών,747452497000,23000000,747475497000
2021,1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,296963000,902000000,1198963000
2021,1031,Υπουργείο Περιβάλλοντος και Ενέργειας,92375000,670000000,762375000
2021,1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,22269305000,420000000,22689305000
2021,1035,Υπουργείο Ανάπτυξης και Επενδύσεων,186196000,5115000000,5301196000
2021,1039,Υπουργείο Υποδομών και Μεταφορών,717688000,867000000,1584688000
2021,1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,268600000,140000000,408600000 
2021,1045,Υπουργείο Τουρισμού,36240000,21000000,57240000
2021,1053,Υπουργείο Ψηφιακής Διακυβέρνυσης,146109000,90000000,236109000
2021,1055,Υπουργείο Μετανάστευσης και Ασύλου,96884000,31000000,127884000
2021,1057,Υπουργείο Προστασίας του Πολίτη,2414481000,74000000,2488481000
2021,1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,
2021,1901,Αποκεντρωμένη Διοίκηση Αττικής,19247000,0,19427000
2021,1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,27427000,0,27427000
2021,1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18659000,0,18659000
2021,1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,33001000,0,33001000
2021,1905,Αποκεντρωμένη Διοίκηση Αιγαίου,10462000,0,10462000
2021,1906,Αποκεντρωμένη Διοίκηση Κρήτης,11160000,0,11160000
2021,1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,41456000,0,41456000
